"Main_gene_name","frequency"
"F8",472
"SCN1A",405
"FBN1",393
"ABCA4",228
"PAH",222
"MYH7",200
"SCN5A",190
"GJB1",189
"ATP7B",184
"GLA",180
"GBA",171
"AR",169
"RYR1",156
"NPC1",150
"CFTR",148
"COL4A5",145
"COL1A1",141
"CPS1",140
"F9",139
"RET",139
"ABCD1",138
"GALT",134
"LMNA",134
"VHL",133
"GAA",131
"KCNQ1",131
"GALNS",126
"IDS",126
"MMUT",125
"KCNH2",117
"SLC12A3",117
"ALPL",111
"OTC",111
"SMPD1",111
"TYR",111
"BTK",110
"NOTCH3",110
"CASR",109
"BEST1",108
"F7",108
"GCK",107
"LDLR",104
"CBS",103
"COL3A1",103
"PKLR",101
"GLB1",99
"PSEN1",99
"ABCC8",97
"ARSA",97
"MEN1",96
"PKHD1",93
"PKD1",92
"MPZ",90
"ELANE",89
"HMBS",89
"PROS1",89
"ABCC6",87
"ASS1",86
"MLH1",85
"NF1",85
"AVPR2",84
"SERPINC1",84
"ACTA1",83
"TP53",83
"ACVRL1",82
"COL1A2",81
"CRB1",81
"SHH",81
"SOD1",79
"SCN2A",78
"COL7A1",77
"SPAST",77
"TTR",75
"FGFR1",74
"PLP1",74
"POLG",73
"SLC22A5",73
"SLC26A4",73
"ABCB4",72
"FGFR2",72
"LPL",70
"MSH2",70
"USH2A",70
"RHO",69
"EDA",68
"HGD",68
"NAGLU",68
"L1CAM",67
"CYP21A2",66
"PMM2",66
"RS1",66
"CYBB",65
"SCN4A",65
"TGM1",65
"INSR",64
"MYBPC3",64
"COL2A1",63
"GFAP",62
"HPRT1",62
"NPHS1",62
"NDP",61
"OPA1",60
"PTPN11",60
"ASL",59
"CNGA3",59
"COMP",59
"LRP5",59
"F11",58
"G6PD",58
"GCDH",58
"MYOC",58
"CDH23",57
"CHST6",57
"IDUA",57
"MTM1",57
"PPOX",56
"SGSH",56
"DYSF",55
"UGT1A1",55
"CLCN1",54
"G6PC",54
"DHCR7",53
"MTHFR",53
"TSC2",53
"CAPN3",52
"JAG1",52
"MCCC2",52
"NPHS2",51
"CHD7",50
"CYP11B1",50
"DCX",50
"GJA1",50
"KRT5",50
"MEFV",50
"MYO7A",50
"HEXA",49
"SLC3A1",49
"RYR2",48
"SLC2A1",48
"MECP2",47
"RUNX2",47
"BRCA2",46
"CACNA1A",46
"GJB2",46
"KCNJ11",46
"WT1",46
"IRF6",45
"SMCHD1",45
"THAP1",45
"ATM",44
"GALC",44
"PRPH2",44
"RPE65",44
"TRPV4",44
"ADAMTS13",43
"TMEM67",43
"VWF",43
"ASPA",42
"CFH",42
"HNF1A",42
"SLC4A11",42
"ATP2A2",41
"KRT14",41
"OCRL",41
"PTEN",41
"AGXT",40
"CYP1B1",40
"MAN2B1",40
